RED SEA
BRITISH NEW GUINEA
BANGLADESH
SUDAN?
ROATAN
NORTHERN MARIANA ISLANDS
MID-PACIFC OCEAN
1991.07.01.a
INDIAN OCEAN?
TASMAN SEA
JORDAN
MAYOTTE
Coast of AFRICA
F
34
ST MARTIN
KUWAIT
ASIA?
ANDAMAN / NICOBAR ISLANDAS
Australia
TUVALU
NORTH SEA
ANDAMAN ISLANDS
British Overseas Territory
BAY OF BENGAL
EGYPT / ISRAEL
MEXICO
THE BALKANS
Sierra Leone
PUERTO RICO
India
COLOMBIA
SOLOMON ISLANDS / VANUATU
GUATEMALA
EQUATORIAL GUINEA / CAMEROON
ALGERIA
DIEGO GARCIA
ADMIRALTY ISLANDS
NICARAGUA
ARUBA
ITALY / CROATIA
BAHREIN
GABON
NORTHERN ARABIAN SEA
FALKLAND ISLANDS
RED SEA / INDIAN OCEAN
CURACAO
SOUTH CHINA SEA
2003.04.20.c
ST KITTS / NEVIS
PHILIPPINES
WESTERN SAMOA
IRAN / IRAQ
Sofala Province
ARGENTINA
BRITISH WEST INDIES
GREENLAND
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.b-Corona.pdf
ST. MARTIN
ST. MAARTIN
BRITISH VIRGIN ISLANDS
ANGOLA
SLOVENIA
SWEDEN
SYRIA
CEYLON (SRI LANKA)
PARAGUAY
PALESTINIAN TERRITORIES
AFRICA
COOK ISLANDS
GRAND CAYMAN
Seychelles
NORTH ATLANTIC OCEAN
Between PORTUGAL & INDIA
MALDIVE ISLANDS
OCEAN
NETHERLANDS ANTILLES
MONACO
Asia
NEVIS
SAN DOMINGO
DJIBOUTI
CYPRUS
RED SEA?
COMOROS
BRITISH ISLES
KOREA
FEDERATED STATES OF MICRONESIA
United Kindom
GHANA
GULF OF ADEN
JAVA
GEORGIA
